TimeStamp,Humedad (%), Temperatura(DHT), Temperatura (BMP), Presion (hPa), Altitud (m), CO2 (ppm)
2022:4:18:11:9:54,41.70,26.50,29.98,836.37,1733.19,3200.78
2022:4:18:11:9:56,41.80,26.50,26.00,997.88,133.86,3659.93
2022:4:18:11:9:58,41.80,26.50,26.00,997.87,133.94,4160.80
2022:4:18:11:10:0,41.80,26.50,26.01,997.86,134.01,4495.86
2022:4:18:11:10:2,41.70,26.50,26.01,997.88,133.83,4994.43
2022:4:18:11:10:4,41.70,26.50,26.02,997.91,133.57,5068.53
2022:4:18:11:10:7,41.70,26.50,26.02,997.88,133.87,5143.36
2022:4:18:11:10:9,41.70,26.50,26.03,997.91,133.57,5372.24
2022:4:18:11:10:11,41.70,26.50,26.03,997.92,133.48,5295.21
2022:4:18:11:10:13,41.70,26.50,26.03,997.90,133.71,5372.24
2022:4:18:11:10:15,41.70,26.50,26.03,997.89,133.79,5218.91
2022:4:18:11:10:17,41.70,26.50,26.05,997.92,133.49,5295.21
2022:4:18:11:10:19,41.70,26.50,26.03,997.91,133.62,5218.91
2022:4:18:11:10:21,41.70,26.50,26.05,997.91,133.60,5218.91
2022:4:18:11:10:23,41.70,26.50,26.05,997.90,133.73,5143.36
2022:4:18:11:10:25,41.70,26.50,26.05,997.88,133.86,5143.36
2022:4:18:11:10:27,41.70,26.50,26.04,997.90,133.67,4994.43
2022:4:18:11:10:29,41.70,26.50,26.05,997.92,133.52,4848.41
2022:4:18:11:10:31,41.60,26.50,26.04,997.92,133.53,4848.41
2022:4:18:11:10:33,41.60,26.50,26.04,997.91,133.56,4776.48
2022:4:18:11:10:35,41.60,26.50,26.03,997.92,133.46,4705.27
2022:4:18:11:10:37,41.60,26.50,26.04,997.90,133.69,4776.48
2022:4:18:11:10:40,41.60,26.50,26.04,997.92,133.48,4634.76
2022:4:18:11:10:42,41.60,26.50,26.03,997.93,133.38,4634.76
2022:4:18:11:10:44,41.60,26.50,26.03,997.94,133.33,4634.76
2022:4:18:11:10:46,41.60,26.50,26.03,997.94,133.32,4634.76
2022:4:18:11:10:48,41.60,26.50,26.03,997.94,133.32,4564.96
2022:4:18:11:10:50,41.60,26.50,26.02,997.94,133.33,4564.96
2022:4:18:11:10:52,41.60,26.50,26.02,997.91,133.54,4495.86
2022:4:18:11:10:54,41.60,26.50,26.02,997.92,133.47,4495.86
2022:4:18:11:10:56,41.60,26.50,26.04,997.97,133.07,4427.47
2022:4:18:11:10:58,41.70,26.50,26.03,997.95,133.26,4427.47
2022:4:18:11:11:0,41.70,26.50,26.03,997.95,133.23,4427.47
2022:4:18:11:11:2,41.80,26.50,26.04,997.95,133.21,4427.47
2022:4:18:11:11:4,41.70,26.50,26.03,997.91,133.57,4427.47
2022:4:18:11:11:6,41.70,26.50,26.03,997.93,133.42,4427.47
2022:4:18:11:11:8,41.70,26.50,26.04,997.94,133.30,4427.47
2022:4:18:11:11:10,41.70,26.50,26.04,997.95,133.26,4427.47
2022:4:18:11:11:13,41.70,26.50,26.04,997.94,133.30,4359.77
2022:4:18:11:11:15,41.70,26.50,26.04,997.94,133.36,4359.77
2022:4:18:11:11:17,41.70,26.50,26.03,997.94,133.36,4359.77
2022:4:18:11:11:19,41.70,26.50,26.04,997.95,133.26,4292.75
2022:4:18:11:11:21,41.70,26.50,26.04,997.96,133.19,4359.77
2022:4:18:11:11:23,41.70,26.50,26.04,997.96,133.13,4359.77
2022:4:18:11:11:25,41.70,26.50,26.04,997.90,133.72,4359.77
2022:4:18:11:11:27,41.70,26.50,26.04,997.94,133.36,4359.77
2022:4:18:11:11:29,41.70,26.50,26.03,997.93,133.42,4427.47
2022:4:18:11:11:31,41.70,26.50,26.02,997.94,133.36,4427.47
2022:4:18:11:11:33,41.60,26.50,26.02,997.94,133.30,4359.77
2022:4:18:11:11:35,41.60,26.50,26.02,997.93,133.41,4359.77
2022:4:18:11:11:37,41.60,26.50,26.02,997.94,133.32,4359.77
2022:4:18:11:11:39,41.60,26.50,26.02,997.91,133.57,4359.77
2022:4:18:11:11:41,41.50,26.50,26.02,997.94,133.33,4359.77
2022:4:18:11:11:43,41.50,26.50,26.01,997.93,133.37,4292.75
2022:4:18:11:11:45,41.50,26.50,26.01,997.95,133.24,4292.75
2022:4:18:11:11:48,41.50,26.50,26.01,997.95,133.27,4292.75
2022:4:18:11:11:50,41.50,26.50,26.00,997.91,133.58,4359.77
2022:4:18:11:11:52,41.50,26.50,26.00,997.96,133.14,4359.77
2022:4:18:11:11:54,41.50,26.50,26.01,997.93,133.39,4292.75
2022:4:18:11:11:56,41.50,26.50,26.00,997.95,133.18,4359.77
2022:4:18:11:11:58,41.50,26.50,26.01,997.96,133.17,4359.77
2022:4:18:11:12:0,41.50,26.50,26.01,997.95,133.23,4292.75
2022:4:18:11:12:2,41.50,26.50,26.01,997.92,133.52,4292.75
2022:4:18:11:12:4,41.50,26.50,26.01,997.95,133.24,4292.75
2022:4:18:11:12:6,41.50,26.50,26.01,997.94,133.32,4292.75
2022:4:18:11:12:8,41.50,26.50,26.01,997.96,133.13,4292.75
2022:4:18:11:12:10,41.50,26.50,26.02,997.96,133.16,4226.44
2022:4:18:11:12:12,41.50,26.50,26.01,997.93,133.44,4292.75
2022:4:18:11:12:14,41.50,26.60,26.02,997.94,133.36,4292.75
2022:4:18:11:12:16,41.50,26.50,26.02,997.95,133.22,4292.75
2022:4:18:11:12:18,41.50,26.50,26.02,997.93,133.37,4359.77
2022:4:18:11:12:21,41.50,26.60,26.01,997.91,133.58,4359.77
2022:4:18:11:12:23,41.50,26.50,26.01,997.90,133.63,4292.75
2022:4:18:11:12:25,41.50,26.50,26.01,997.91,133.54,4359.77
2022:4:18:11:12:27,41.50,26.50,26.01,997.97,133.09,4292.75
2022:4:18:11:12:29,41.50,26.50,26.01,997.92,133.47,4292.75
2022:4:18:11:12:31,41.50,26.50,26.00,997.93,133.42,4292.75
2022:4:18:11:12:33,41.60,26.50,25.99,997.91,133.53,4292.75
2022:4:18:11:12:35,41.60,26.50,26.00,997.93,133.40,4226.44
2022:4:18:11:12:37,41.60,26.50,26.00,997.93,133.40,4160.80
2022:4:18:11:12:39,41.60,26.50,26.00,997.93,133.43,4160.80
2022:4:18:11:12:41,41.70,26.50,26.00,997.91,133.57,4226.44
2022:4:18:11:12:43,41.70,26.50,26.00,997.96,133.13,4226.44
2022:4:18:11:12:45,41.70,26.50,26.01,997.95,133.25,4160.80
2022:4:18:11:12:47,41.70,26.50,26.02,997.94,133.31,4160.80
2022:4:18:11:12:49,41.70,26.50,26.02,997.92,133.50,4226.44
2022:4:18:11:12:51,41.60,26.50,26.03,997.91,133.58,4160.80
2022:4:18:11:12:54,41.60,26.50,26.03,997.93,133.42,4160.80
2022:4:18:11:12:56,41.70,26.50,26.03,997.94,133.36,4226.44
2022:4:18:11:12:58,41.70,26.50,26.04,997.92,133.49,4160.80
2022:4:18:11:13:0,41.70,26.50,26.04,997.94,133.37,4160.80
2022:4:18:11:13:2,41.90,26.50,26.04,997.93,133.38,4095.85
2022:4:18:11:13:4,41.90,26.50,26.05,997.93,133.40,4160.80
2022:4:18:11:13:6,42.00,26.50,26.05,997.94,133.34,4095.85
2022:4:18:11:13:8,42.00,26.50,26.05,997.94,133.34,4160.80
2022:4:18:11:13:10,42.00,26.50,26.05,997.94,133.32,4160.80
2022:4:18:11:13:12,42.00,26.50,26.05,997.95,133.28,4095.85
2022:4:18:11:13:14,42.00,26.50,26.05,997.93,133.46,4160.80
2022:4:18:11:13:16,42.00,26.50,26.05,997.90,133.69,4160.80
2022:4:18:11:13:18,42.00,26.50,26.04,997.89,133.79,4160.80
2022:4:18:11:13:20,42.00,26.50,26.05,997.93,133.41,4160.80
2022:4:18:11:13:22,41.90,26.50,26.05,997.92,133.47,4160.80
2022:4:18:11:13:24,41.90,26.50,26.05,997.90,133.68,4160.80
2022:4:18:11:13:26,41.90,26.50,26.05,997.93,133.43,4095.85
2022:4:18:11:13:29,41.90,26.50,26.06,997.93,133.41,5068.53
2022:4:18:11:13:31,41.80,26.50,26.06,997.94,133.33,4292.75
2022:4:18:11:13:33,41.90,26.60,26.07,997.95,133.28,4292.75
2022:4:18:11:13:35,41.80,26.50,26.07,997.95,133.22,4292.75
2022:4:18:11:13:37,41.80,26.50,26.08,997.95,133.23,4226.44
2022:4:18:11:13:39,41.90,26.50,26.08,997.95,133.26,4160.80
2022:4:18:11:13:41,41.90,26.50,26.09,997.96,133.13,4427.47
2022:4:18:11:13:43,41.90,26.50,26.10,997.98,133.00,4495.86
2022:4:18:11:13:45,41.90,26.50,26.11,997.95,133.25,4359.77
2022:4:18:11:13:47,41.90,26.50,26.11,997.96,133.20,4292.75
2022:4:18:11:13:49,41.90,26.50,26.11,997.96,133.15,4292.75
2022:4:18:11:13:51,41.90,26.50,26.13,997.95,133.31,4226.44
2022:4:18:11:13:53,41.90,26.50,26.14,997.98,133.05,4226.44
2022:4:18:11:13:55,41.80,26.50,26.15,998.00,132.88,4226.44
2022:4:18:11:13:57,41.80,26.50,26.14,998.00,132.85,4226.44
2022:4:18:11:13:59,41.80,26.50,26.14,997.96,133.16,4160.80
2022:4:18:11:14:2,41.80,26.50,26.15,997.99,132.93,4292.75
2022:4:18:11:14:4,41.90,26.60,26.15,998.00,132.86,4495.86
2022:4:18:11:14:6,41.80,26.50,26.15,998.00,132.84,4495.86
2022:4:18:11:14:8,41.80,26.50,26.16,997.99,132.91,4495.86
2022:4:18:11:14:10,41.80,26.50,26.16,997.98,133.05,4095.85
2022:4:18:11:14:12,41.80,26.50,26.16,998.00,132.90,4095.85
2022:4:18:11:14:14,41.80,26.50,26.17,998.00,132.90,4160.80
2022:4:18:11:14:16,41.90,26.60,26.16,997.98,133.00,4160.80
2022:4:18:11:14:18,41.90,26.60,26.17,998.00,132.85,4095.85
2022:4:18:11:14:20,41.80,26.50,26.18,998.03,132.56,4031.57
2022:4:18:11:14:22,41.80,26.50,26.19,998.02,132.71,4095.85
2022:4:18:11:14:24,41.80,26.50,26.19,998.00,132.84,4095.85
2022:4:18:11:14:26,41.90,26.50,26.18,998.01,132.81,4031.57
2022:4:18:11:14:28,41.90,26.50,26.19,998.00,132.85,4031.57
2022:4:18:11:14:30,41.90,26.50,26.18,998.02,132.69,4160.80
2022:4:18:11:14:32,41.90,26.50,26.19,998.05,132.47,4160.80
2022:4:18:11:14:35,41.90,26.50,26.19,998.03,132.61,4095.85
2022:4:18:11:14:37,41.90,26.60,26.18,998.00,132.83,4160.80
